rank,artist,song,year
12,"Nelly feat. Paul Wall, Ali and Gipp",Grillz,2006
13,The Fray,Over My Head (Cable Car),2006
14,Cassie,Me & U,2006
15,The Pussycat Dolls feat. Snoop Dogg,Buttons,2006
16,Chris Brown,Run It!,2006
17,Ne-Yo,So Sick,2006
18,Yung Joc,It’s Goin’ Down,2006
19,Rihanna,SOS,2006
20,Panic! At The Disco,I Write Sins not Tragedies,2006
21,The All-American Rejects,Move Along,2006
22,Fergie,London Bridge,2006
23,Red Hot Chili Peppers,Dani California,2006
24,Lil Jon feat. E-40 and Sean Paul Of The YoungBloodZ,Snap Yo Fingers,2006
25,Dem Franchize Boyz feat. Lil Peanut and Charlay,"Lean Wit It, Rock Wit It",2006
26,Rascal Flatts,What Hurts the Most,2006
27,The Fray,How to Save a Life,2006
28,Rihanna,Unfaithful,2006
29,Snow Patrol,Chasing Cars,2006
30,Hinder,Lips of an Angel,2006
31,Cascada,Everytime We Touch,2006
32,Christina Aguilera,Ain’t no Other Man,2006
33,Fall Out Boy,"Dance, Dance",2006
34,Kanye West feat. Jamie Foxx,Gold Digger,2006
35,Ludacris feat. Pharrell,Money Maker,2006
36,Bubba Sparxxx feat. Ying Yang Twins and Mr. ColliPark,Ms. New Booty,2006
37,Sean Paul feat. Keyshia Cole,(When You Gonna) Give It Up To Me,2006
38,Nickelback,Photograph,2006
39,Kelly Clarkson,Because of You,2006
40,The Pussycat Dolls,Stickwitu,2006
41,T-Pain feat. Mike Jones,I’n N Luv (Wit a Stripper),2006
42,The Black Eyed Peas,My Humps,2006
43,Fort Minor feat. Holly Brook,Where’d You Go,2006
44,Chris Brown,Yo (Excuse Me Miss),2006
45,Kelly Clarkson,Walk Away,2006
46,D4L,Laffy Taffy,2006
47,T.I.,What you Know,2006
48,The All-American Rejects,Dirty Little Secret,2006
49,Nickelback,Savin’ Me,2006
50,Mariah Carey,Don’t Forget About Us,2006
51,Ne-Yo,Sexy Love,2006
52,E-40 feat. T-Pain and Kandi Girl,U and Dat,2006
53,Nickelback,Far Away,2006
54,Nick Lachey,What’s Left of Me,2006
55,Field Mob feat. Ciara,So What,2006
56,Cherish feat. Sean Paul Of The YoungBloodZ,Do it to It,2006
57,KT Tunstall,Black Horse & the Cherry Tree,2006
58,Juelz Santana,There it Go! (The Whistle Song),2006
59,Young Dro feat. T.I.,Shoulder Lean!,2006
60,Jamie Foxx feat. Ludacris,Unpredictable,2006
61,Justin Timberlake feat. T.I.,My Love,2006
62,Eminem feat. Nate Dogg,Shake That,2006
63,Chingy feat. Tyrese,Pullin’ Me Back,2006
64,Kelis feat. Too $hort,Bossy,2006
65,Jibbs,Chain Hang Low,2006
66,Akon feat. Eminem,Smack That,2006
67,Ray J,One Wish,2006
68,Fall Out Boy,Sugar We’re Goin’ Down,2006
69,Chris Brown feat. Lil’ Wayne,Gimme That,2006
70,Yung Joc feat. Brandy ‘Ms. B.’ Hambrick,I Know You See It,2006
71,Bon Jovi,Who Says you can’t Go Home,2006
72,JoJo,Too Little Too Late,2006
73,Busta Rhymes,Touch It,2006
74,Daddy Yankee,Rompe,2006
75,Beyonce feat. Jay-Z,Deja Vu,2006
76,Rascal Flatts,Life is a Highway,2006
77,Evanescence,Call me When You’re Sober,2006
78,Carrie Underwood,"Jesus, take the Wheel",2006
79,Danity Kane,Show Stopper,2006
80,Ciara feat. Chamillionaire,Get Up,2006
81,Sean Paul,We be Burnin’,2006
82,Blue October,Hate Me,2006
83,Lifehouse,You and Me,2006
84,The Pussycat Dolls feat. will.i.am,Beep,2006
85,"Dem Franchize Boyz feat. Jermaine Dupri, Da Brat and Bow Wow",I Think They Like Me,2006
86,Chris Brown,Say Goodbye,2006
87,John Mayer,Waiting on the World to Change,2006
88,Young Jeezy feat. Akon,Soul Survivor,2006
89,The Black Eyed Peas,Pump It,2006
90,Eminem,When I’m Gone,2006
91,Madonna,Hung Up,2006
92,Three 6 Mafia feat. Young Buck and Eightball and MJG,Stay Fly,2006
93,Keyshia Cole,Love,2006
94,Ne-Yo,When You’re Mad,2006
95,T.I.,Why You Wanna,2006
96,Pink,Stupid Girls,2006
97,Gorillaz,Feel Good Inc,2006
98,T-Pain,I’m Sprung,2006
99,Taylor Hicks,Do I Make you Proud,2006
100,Teddy Geiger,For You I Will (Condience),2006
1,Beyonce,Irreplaceable,2007
2,Rihanna feat. Jay-Z,Umbrella,2007
3,Gwen Stefani feat. Akon,The Sweet Escape,2007
4,Fergie,Big Girls Don’t Cry,2007
5,T-Pain feat. Yung Joc,Buy U A Drank (Shawty Snappin’),2007
6,Carrie Underwood,Before He Cheats,2007
7,Plain White T’s,Hey There Delilah,2007
8,Akon feat. Snoop Dogg,I Wanna Love You,2007
9,Nelly Furtado,Say It Right,2007
10,Fergie feat. Ludacris,Glamorous,2007
11,Akon,Don’t Matter,2007
12,Avril Lavigne,Girlfriend,2007
13,Maroon 5,Makes Me Wonder,2007
14,Shop Boyz,Party Like A Rockstar,2007
15,Akon feat. Eminem,Smack That,2007
16,Mims,This Is Why I’m Hot,2007
17,Daughtry,It’s Not Over,2007
18,Timbaland feat. Keri Hilson,The Way I Are,2007
19,Fergie,Fergalicious,2007
20,Soulja Boy Tell’em,Crank That (Soulja Boy),2007
21,Timbaland feat. Nelly Furtado & Justin Timberlake,Give It To Me,2007
22,Justin Timberlake,What Goes Around…Comes Around,2007
23,Gym Class Heroes feat. Patrick Stump,Cupid’s Chokehold/Breakfast In America,2007
24,The Fray,How To Save A Life,2007
25,Daughtry,Home,2007
26,Justin Timberlake feat. T.I.,My Love,2007
27,Kanye West,Stronger,2007
28,Jim Jones,We Fly High,2007
29,Pink,U + Ur Hand,2007
30,Unk,Walk It Out,2007
31,Sean Kingston,Beautiful Girls,2007
32,Fall Out Boy,"This Ain’t A Scene, It’s An Arms Race",2007
33,T-Pain feat. Akon,Bartender,2007
34,Huey,"Pop, Lock & Drop It",2007
35,Ludacris feat. Mary J. Blige,Runaway Love,2007
36,Nickelback,Rockstar,2007
37,Fall Out Boy,Thnks Fr Th Mmrs,2007
38,Linkin Park,What I’ve Done,2007
39,Justin Timberlake,Summer Love,2007
40,Lloyd feat. Lil’ Wayne,You,2007
41,Elliott Yamin,Wait For You,2007
42,Diddy feat. Keyshia Cole,Last Night,2007
43,Fat Joe feat. Lil Wayne,Make It Rain,2007
44,Fabolous feat. Ne-Yo,Make Me Better,2007
45,Omarion,Ice Box,2007
46,Hinder,Lips Of An Angel,2007
47,John Mayer,Waiting On The World To Change,2007
48,Robin Thicke,Lost Without U,2007
49,R. Kelly Or Bow Wow (feat. T.I. & T-Pain),I’m A Flirt,2007
50,Nickelback,If Everyone Cared,2007
51,Lloyd,Get It Shawty,2007
52,The Red Jumpsuit Apparatus,Face Down,2007
53,Baby Boy Da Prince feat. Lil Boosie,The Way I Live,2007
54,Bow Wow feat. Chris Brown & Johnta Austin,Shortie Like Mine,2007
55,The All-American Rejects,It Ends Tonight,2007
56,Hurricane Chris,A Bay Bay,2007
57,Ne-Yo,Because Of You,2007
58,Bone Thugs-N-Harmony feat. Akon,I Tried,2007
59,My Chemical Romance,Welcome To The Black Parade,2007
60,Plies feat. T-Pain,Shawty,2007
61,Snow Patrol,Chasing Cars,2007
62,Beyonce & Shakira,Beautiful Liar,2007
63,Justin Timberlake,Sexyback,2007
64,Avril Lavigne,Keep Holding On,2007
65,Keyshia Cole feat. Missy Elliott & Lil Kim,Let It Go,2007
66,Timbaland feat. OneRepublic,Apologize,2007
67,Colbie Caillat,Bubbly,2007
68,Ciara,Like A Boy,2007
69,Pink,Who Knew,2007
70,Kelly Clarkson,Never Again,2007
71,Ciara,Promise,2007
72,J. Holiday,Bed,2007
73,Rich Boy feat. Polow Da Don,Throw Some D’s,2007
74,Amy Winehouse,Rehab,2007
75,T.I.,Big Things Poppin’ (Do It),2007
76,Alicia Keys,No One,2007
77,Boys Like Girls,The Great Escape,2007
78,Unk,2 Step,2007
79,Paula DeAnda feat. The DEY,Walk Away (Remember Me),2007
80,Young Jeezy feat. R. Kelly,Go Getta,2007
81,Hellogoodbye,Here (In Your Arms),2007
82,Pretty Ricky,On The Hotline,2007
83,Gwen Stefani,Wind It Up,2007
84,Baby Bash feat. T-Pain,Cyclone,2007
85,Rihanna & Sean Paul,Break It Off,2007
86,Lifehouse,First Time,2007
87,50 Cent feat. Justin Timberlake & Timbaland,Ayo Technology,2007
88,Bow Wow feat. T-Pain & Johnta Austin,Outta My System,2007
89,Taylor Swift,Teardrops On My Guitar,2007
90,Rihanna,Shut Up And Drive,2007
91,Red Hot Chili Peppers,Snow ((Hey Oh)),2007
92,Ludacris feat. Pharrell,Money Maker,2007
93,Chris Brown feat. T-Pain,Kiss Kiss,2007
94,Nickelback,Far Away,2007
95,Crime Mob feat. Lil Scrappy,Rock Yo Hips,2007
96,Justin Timberlake,Lovestoned,2007
97,Hinder,Better Than Me,2007
98,Finger Eleven,Paralyzer,2007
99,Snoop Dogg feat. R. Kelly,That’s That,2007
100,R. Kelly and Usher,Same Girl,2007
1,Flo Rida feat. T-Pain,Low,2008
2,Leona Lewis,Bleeding Love,2008
3,Alicia Keys,No One,2008
4,Lil Wayne feat. Static Major,Lollipop,2008
5,Timbaland feat. OneRepublic,Apologize,2008
6,Jordin Sparks Duet With Chris Brown,No Air,2008
7,Sara Bareilles,Love Song,2008
8,Usher feat. Young Jeezy,Love In This Club,2008
9,Chris Brown,With You,2008
10,Chris Brown,Forever,2008
11,Ray J and Yung Berg,Sexy Can I,2008
12,Rihanna,Take A Bow,2008
13,Coldplay,Viva La Vida,2008
14,Katy Perry,I Kissed A Girl,2008
15,T.I.,Whatever You Like,2008
16,Rihanna,Disturbia,2008
17,Rihanna,Don’t Stop the Music,2008
18,Natasha Bedingfield,Pocketful of Sunshine,2008
19,Chris Brown feat. T-Pain,Kiss Kiss,2008
20,Ne-Yo,Closer,2008
21,Colbie Caillat,Bubbly,2008
22,Mariah Carey,Touch My Body,2008
23,Madonna feat. Justin Timberlake,4 Minutes,2008
24,Pink,So What,2008
25,Finger Eleven,Paralyzer,2008
26,Fergie,Clumsy,2008
27,Jason Mraz,I’m Yours,2008
28,Jesse McCartney,Leavin’,2008
29,Kardinal Offishall feat. Akon,Dangerous,2008
30,Jordin Sparks,Tattoo,2008
31,Miley Cyrus,See You Again,2008
32,Metro Station,Shake It,2008
33,OneRepublic,Stop And Stare,2008
34,Sean Kingston,Take You There,2008
35,M.I.A.,Paper Planes,2008
36,Katy Perry,Hot N Cold,2008
37,T.I. feat. Rihanna,Live Your Life,2008
38,Plies feat. Ne-Yo,Bust It Baby Part 2,2008
39,Estelle feat. Kanye West,American Boy,2008
40,Lil Wayne feat. T-Pain,Got Money,2008
41,Taylor Swift,Our Song,2008
42,Danity Kane,Damaged,2008
43,Lil Wayne,A Milli,2008
44,Buckcherry,Sorry,2008
45,Webbie feat. Lil’ Phat & Lil’ Boosie,Independent,2008
46,T-Pain feat. Lil Wayne,Can’t Believe It,2008
47,Alicia Keys,Like You’ll Never See Me Again,2008
48,Taylor Swift,Teardrops On My Guitar,2008
49,The Pussycat Dolls,When I Grow Up,2008
50,Snoop Dogg,Sensual Seduction,2008
51,Colby O’Donis feat. Akon,What You Got,2008
52,3 Doors Down,It’S Not My Time,2008
53,Leona Lewis,Better In Time,2008
54,Soulja Boy Tell’em,Crank That (Soulja Boy),2008
55,Linkin Park,Shadow Of The Day,2008
56,"Wyclef Jean feat. Akon, Lil Wayne & Niia",Sweetest Girl (Dollar Bill),2008
57,Ne-Yo,Miss Independent,2008
58,Secondhand Serenade,Fall For You,2008
59,Flo Rida feat. will.i.am,In The Ayer,2008
60,John Mayer,Say,2008
61,Jordin Sparks,One Step at A Time,2008
62,Rihanna feat. Ne-Yo,Hate That I Love You,2008
63,Lupe Fiasco feat. Matthew Santos,Superstar,2008
64,J. Holiday,Suffocate,2008
65,Kevin Rudolf feat. Lil Wayne,Let It Rock,2008
66,David Banner feat. Chris Brown,Get Like Me,2008
67,Colbie Caillat,Realize,2008
68,Young Jeezy feat. Kanye West,Put On,2008
69,David Cook,The Time Of My Life,2008
70,"Three 6 Mafia feat. Project Pat, Young D and Superpower",Lolli Lolli (Pop That Body),2008
71,Baby Bash feat. T-Pain,Cyclone,2008
72,Natasha Bedingfield feat. Sean Kingston,Love Like This,2008
73,Jonas Brothers,Burnin’ Up,2008
74,Kanye West,Love Lockdown,2008
75,The-Dream,I Luv Your Girl,2008
76,David Archuleta,Crush,2008
77,Plies feat. Akon,Hypnotized,2008
78,Fergie,Big Girls Don’t Cry,2008
79,Kanye West feat. T-Pain,Good Life,2008
80,Britney Spears,Womanizer,2008
81,Taylor Swift,Love Story,2008
82,Mary J. Blige,Just Fine,2008
83,Britney Spears,Piece Of Me,2008
84,Rick Ross feat. T-Pain,The Boss,2008
85,Kid Rock,All Summer Long,2008
86,Trey Songz,Can’t Help But Wait,2008
87,Gavin DeGraw,In Love With A Girl,2008
88,The Game feat. Lil Wayne,My Life,2008
89,Keyshia Cole,I Remember,2008
90,Kanye West feat. Dwele,Flashing Lights,2008
91,Lil Wayne feat. Bobby Valentino & Kidd Kidd,Mrs. Officer,2008
92,Miley Cyrus,7 Things,2008
93,Trace Adkins,You’re Gonna Miss This,2008
94,Gavin Rossdale,Love Remains The Same,2008
95,Daughtry,Feels Like Tonight,2008
96,Timbaland feat. Keri Hilson,The Way I Are,2008
97,Saving Abel,Addicted,2008
98,Santana feat. Chad Kroeger,Into The Night,2008
99,Keyshia Cole,Heaven Sent,2008
100,2 Pistols feat. T-Pain and Tay Dizm,She Got It,2008
1,The Black Eyed Peas,Boom Boom Pow,2009
2,Lady Gaga,Poker Face,2009
3,Lady Gaga feat. Colby O’Donis,Just Dance,2009
4,The Black Eyed Peas,I Gotta Feeling,2009
5,Taylor Swift,Love Story,2009
6,Flo Rida,Right Round,2009
7,Jason Mraz,I’m Yours,2009
8,Beyonce,Single Ladies (Put A Ring On It),2009
9,Kanye West,Heartless,2009
10,The All-American Rejects,Gives You Hell,2009
11,Taylor Swift,You Belong With Me,2009
12,T.I. feat. Justin Timberlake,Dead And Gone,2009
13,The Fray,You Found Me,2009
14,Kings Of Leon,Use Somebody,2009
15,Keri Hilson feat. Kanye West and Ne-Yo,Knock You Down,2009
16,Jamie Foxx feat. T-Pain,Blame It,2009
17,Pitbull,I Know You Want Me (Calle Ocho),2009
18,T.I. feat. Rihanna,Live Your Life,2009
19,Soulja Boy Tell ’em feat. Sammie,Kiss Me Thru The Phone,2009
20,Jay Sean feat. Lil Wayne,Down,2009
21,Miley Cyrus,The Climb,2009
22,Drake,Best I Ever Had,2009
23,Kelly Clarkson,My Life Would Suck Without You,2009
24,Beyonce,Halo,2009
25,Katy Perry,Hot n Cold,2009
26,Shinedown,Second Chance,2009
27,Britney Spears,Circus,2009
28,Kid Cudi,Day ‘n’ Nite,2009
29,Miley Cyrus,Party in the U.S.A.,2009
30,3OH!3,Don’t Trust Me,2009
31,"Jay-Z, Rihanna and Kanye West",Run This Town,2009
32,Kevin Rudolf feat. Lil Wayne,Let It Rock,2009
33,Sean Kingston,Fire Burning,2009
34,Jason DeRulo,Whatcha Say,2009
35,Lady Gaga,Lovegame,2009
36,Katy Perry,Waking Up In Vegas,2009
37,Jeremih,Birthday Sex,2009
38,Pink,Sober,2009
39,Britney Spears,Womanizer,2009
40,T.I.,Whatever You Like,2009
41,Mariah Carey,Obsessed,2009
42,Ne-Yo,Mad,2009
43,Cobra Starship feat. Leighton Meester,Good Girls Go Bad,2009
44,Kanye West,Love Lockdown,2009
45,Pink,So What,2009
46,Pitbull,Hotel Room Service,2009
47,"Eminem, Dr. Dre and 50 Cent",Crack A Bottle,2009
48,Beyonce,If I Were A Boy,2009
49,Keri Hilson feat. Lil Wayne,Turning Me On,2009
50,The Pussycat Dolls,I Hate This Part,2009
51,Nickelback,Gotta Be Somebody,2009
52,Pink,Please Don’t Leave Me,2009
53,Lady Gaga,Paparazzi,2009
54,Akon feat. Colby O’Donis and Kardinal Offishall,Beautiful,2009
55,Coldplay,Viva la Vida,2009
56,Akon,Right Now (Na Na Na),2009
57,Jordin Sparks,Battlefield,2009
58,Flo Rida feat. Wynter,Sugar,2009
59,Ne-Yo,Miss Independent,2009
60,Owl City,Fireflies,2009
61,Linkin Park,New Divide,2009
62,Jay-Z + Alicia Keys,Empire State Of Mind,2009
63,Daughtry,No Surprise,2009
64,Shakira,She Wolf,2009
65,Mario feat. Gucci Mane and Sean Garrett,Break Up,2009
66,Beyonce,Sweet Dreams,2009
67,Young Money,Every Girl,2009
68,Colbie Caillat,Fallin’ For You,2009
69,The Veronicas,Untouched,2009
70,Nickelback,If Today Was Your Last Day,2009
71,Fabolous feat. The-Dream,Throw It In The Bag,2009
72,Boys Like Girls,Love Drunk,2009
73,Asher Roth,I Love College,2009
74,Britney Spears,If U Seek Amy,2009
75,Jason Aldean,Big Green Tractor,2009
76,Taylor Swift,White Horse,2009
77,Rihanna,Disturbia,2009
78,Green Day,21 Guns,2009
79,Soulja Boy Tell’em,Turn My Swag On,2009
80,The-Dream,Rockin’ That Thang,2009
81,Zac Brown Band,Chicken Fried,2009
82,Beyonce,Diva,2009
83,Iyaz,Replay,2009
84,Brad Paisley,Then,2009
85,Rob Thomas,Her Diamonds,2009
86,Jesse McCartney feat. Ludacris,How Do You Sleep?,2009
87,Britney Spears,3,2009
88,"Drake feat. Kanye West, Lil Wayne and Eminem",Forever,2009
89,Justin Bieber,One Time,2009
90,Lady Antebellum,I Run To You,2009
91,Kelly Clarkson,I Do Not Hook Up,2009
92,John Legend feat. Andre 3000,Green Light,2009
93,Billy Currington,People Are Crazy,2009
94,Zac Brown Band,Whatever It Is,2009
95,Kelly Clarkson,Already Gone,2009
96,Kristinia DeBarge,Goodbye,2009
97,Michael Franti and Spearhead feat. Cherine Anderson,Say Hey (I Love You),2009
98,Jim Jones and Ron Browz feat. Juelz Santana,Pop Champagne,2009
99,Maxwell,Pretty Wings,2009
100,The Fray,Never Say Never,2009
1,Ke$ha,TiK ToK,2010
2,Lady Antebellum,Need You Now,2010
3,Train,"Hey, Soul Sister",2010
4,Katy Perry feat. Snoop Dogg,California Gurls,2010
5,Usher feat. will.i.am,OMG,2010
6,B.o.B feat. Hayley Williams,Airplanes,2010
7,Eminem feat. Rihanna,Love The Way You Lie,2010
8,Lady Gaga,Bad Romance,2010
9,Taio Cruz,Dynamite,2010
10,Taio Cruz feat. Ludacris,Break Your Heart,2010
11,B.o.B feat. Bruno Mars,Nothin’ On You,2010
12,Enrique Iglesias feat. Pitbull,I Like It,2010
13,Young Money feat. Lloyd,Bedrock,2010
14,Jason Derulo,In My Head,2010
15,Rihanna,Rude Boy,2010
16,Lady Gaga feat. Beyonce,Telephone,2010
17,Katy Perry,Teenage Dream,2010
18,Bruno Mars,Just The Way You Are,2010
19,Mike Posner,Cooler Than Me,2010
20,Black Eyed Peas,Imma Be,2010
21,Jay-Z and Alicia Keys,Empire State of Mind,2010
22,Usher feat. Pitbull,DJ Got Us Fallin’ in Love,2010
23,Travie McCoy feat. Bruno Mars,Billionaire,2010
24,Eminem,Not Afraid,2010
25,Iyaz,Replay,2010
26,David Guetta feat. Akon,Sexy Chick,2010
27,The Script,Breakeven,2010
28,Ke$ha,Your Love Is My Drug,2010
29,Black Eyed Peas,I Gotta Feeling,2010
30,Owl City,Fireflies,2010
31,Trey Songz feat. Fabolous,Say Aah,2010
32,Drake,Find Your Love,2010
33,Lady Gaga,Alejandro,2010
34,Jason Derulo,Ridin’ Solo,2010
35,Nelly,Just A Dream,2010
36,Ludacris,How Low,2010
37,Far East Movement feat. The Cataracs and Dev,Like A G6,2010
38,Timbaland feat. Justin Timberlake,Carry Out,2010
39,Michael Buble,Haven’t Met You Yet,2010
40,Flo Rida feat. David Guetta,Club Can’t Handle Me,2010
41,Jay Sean feat. Lil Wayne,Down,2010
42,La Roux,Bulletproof,2010
43,Jason Derulo,Whatcha Say,2010
44,Justin Bieber feat. Ludacris,Baby,2010
45,Adam Lambert,Whataya Want From Me,2010
46,Taylor Swift,Mine,2010
47,Rihanna,Only Girl (In The World),2010
48,Kris Allen,Live Like We’re Dying,2010
49,Rihanna feat. Jeezy,Hard,2010
50,Jay-Z and Mr. Hudson,Young Forever,2010
51,Ke$ha feat. 3OH!3,Blah Blah Blah,2010
52,Trey Songz feat. Nicki Minaj,Bottoms Up,2010
53,Jay Sean feat. Sean Paul & Lil Jon,Do You Remember,2010
54,OneRepublic,All The Right Moves,2010
55,Orianthi,According To You,2010
56,Ludacris feat. Nicki Minaj,My Chick Bad,2010
57,Taylor Swift,You Belong With Me,2010
58,Black Eyed Peas,Meet Me Halfway,2010
59,Ke$ha,Take It Off,2010
60,Drake,Over,2010
61,Neon Trees,Animal,2010
62,Maroon 5,Misery,2010
63,B.o.B feat. Rivers Cuomo,Magic,2010
64,Lady Gaga,Paparazzi,2010
65,New Boyz feat. Ray J,Tie Me Down,2010
66,Nicki Minaj,Your Love,2010
67,Miley Cyrus,Party In The U.S.A.,2010
68,Chris Brown feat. Tyga and Kevin McCall,Deuces,2010
69,Britney Spears,3,2010
70,Shontelle,Impossible,2010
71,"Drake feat. Kanye West, Lil Wayne and Eminem",Forever,2010
72,Boys Like Girls feat. Taylor Swift,Two Is Better Than One,2010
73,3OH!3 feat. Ke$ha,My First Kiss,2010
74,Kelly Clarkson,Already Gone,2010
75,Black Eyed Peas,Rock That Body,2010
76,OneRepublic,Secrets,2010
77,Selena Gomez and The Scene,Naturally,2010
78,Alicia Keyes,Un-Thinkable (I’m Ready),2010
79,"DJ Khaled feat. T-Pain, Ludacris, Snoop Dogg and Rick Ross",All I Do Is Win,2010
80,"Kevin Rudolf feat. Birdman, Jay Sean, & Lil Wayne",I Made It (Cash Money Heroes),2010
81,Sugarland,Stuck Like Glue,2010
82,Usher feat. Plies,Hey Daddy (Daddy’s Home),2010
83,Usher,There Goes My Baby,2010
84,Taylor Swift,Today Was A Fairytale,2010
85,Timbaland feat. Drake,Say Something,2010
86,Beyonce,Sweet Dreams,2010
87,Kings of Leon,Use Somebody,2010
88,Carrie Underwood,Undo It,2010
89,Sean Kingston and Justin Bieber,Eenie Meenie,2010
90,Lil Wayne feat. Drake,Right Above It,2010
91,Miranda Lambert,The House That Built Me,2010
92,The Band Perry,If I Die Young,2010
93,Paramore,The Only Exception,2010
94,Lady Antebellum,American Honey,2010
95,Sara Bareilles,King Of Anything,2010
96,Daughtry,Life After You,2010
97,Uncle Kraker,Smile,2010
98,Cali Swag District,Teach Me How To Dougie,2010
99,Alicia Keyes,Try Sleeping With A Broken Heart,2010
100,Jerrod Niemann,"Lover, Lover",2010
1,Adele,Rolling In The Deep,2011
2,LMFAO feat. Lauren Bennett & GoonRock,Party Rock Anthem,2011
3,Katy Perry,Firework,2011
4,Katy Perry feat. Kanye West,E.T.,2011
5,"Pitbull feat. Ne-Yo, Afrojack & Nayer",Give Me Everything,2011
6,Bruno Mars,Grenade,2011
7,Cee Lo Green,F**K You (Forget You),2011
8,Nicki Minaj,Super Bass,2011
9,Maroon 5 feat. Christina Aguilera,Moves Like Jagger,2011
10,The Black Eyed Peas,Just Can’t Get Enough,2011
11,Jennifer Lopez feat. Pitbull,On The Floor,2011
12,Rihanna,S&M,2011
13,Foster The People,Pumped Up Kicks,2011
14,Katy Perry,Last Friday Night (T.G.I.F.),2011
15,Bruno Mars,Just The Way You Are,2011
16,Enrique Iglesias feat. Ludacris & DJ Frank E,Tonight (I’m Lovin’ You),2011
17,P!Nk,Raise Your Glass,2011
18,Lady Gaga,Born This Way,2011
19,P!Nk,F**Kin’ Perfect,2011
20,Rihanna feat. Drake,What’s My Name?,2011
21,Chris Brown feat. Lil Wayne & Busta Rhymes,Look At Me Now,2011
22,Jeremih feat. 50 Cent,Down On Me,2011
23,Lil Wayne,How To Love,2011
24,Adele,Someone Like You,2011
25,OneRepublic,Good Life,2011
26,Bruno Mars,The Lazy Song,2011
27,Britney Spears,Till The World Ends,2011
28,Lupe Fiasco,The Show Goes On,2011
29,Lady Gaga,The Edge Of Glory,2011
30,Ke$Ha,We R Who We R,2011
31,Wiz Khalifa,Black And Yellow,2011
32,Hot Chelle Rae,Tonight Tonight,2011
33,Ke$Ha,Blow,2011
34,Bad Meets Evil feat. Bruno Mars,Lighters,2011
35,The Band Perry,If I Die Young,2011
36,Gym Class Heroes feat. Adam Levine,Stereo Hearts,2011
37,The Black Eyed Peas,The Time (Dirty Bit),2011
38,Diddy – Dirty Money feat. Skylar Grey,Coming Home,2011
39,Pitbull feat. T-Pain,Hey Baby (Drop It To The Floor),2011
40,Rihanna,Only Girl (In The World),2011
41,Lil Wayne feat. Cory Gunz,6 Foot 7 Foot,2011
42,Lady Antebellum,Just A Kiss,2011
43,Jason Aldean,Dirt Road Anthem,2011
44,Taio Cruz,Dynamite,2011
45,Waka Flocka Flame feat. Roscoe Dash & Wale,No Hands,2011
46,Britney Spears,I Wanna Go,2011
47,"DJ Khaled feat. Drake, Rick Ross & Lil Wayne",I’m On One,2011
48,Cobra Starship feat. Sabi,You Make Me Feel…,2011
49,Chris Brown,Yeah 3x,2011
50,Nicki Minaj feat. Drake,Moment 4 Life,2011
51,Dr. Dre feat. Eminem & Skylar Grey,I Need A Doctor,2011
52,Nelly,Just A Dream,2011
53,Kelly Rowland feat. Lil Wayne,Motivation,2011
54,Edward Maya & Vika Jigulina,Stereo Love,2011
55,Christina Perri,Jar Of Hearts,2011
56,Wiz Khalifa,Roll Up,2011
57,LMFAO,Sexy And I Know It,2011
58,Far*East Movement feat. Ryan Tedder,Rocketeer,2011
59,Kanye West,All Of The Lights,2011
60,Britney Spears,Hold It Against Me,2011
61,Usher,More,2011
62,Avril Lavigne,What The Hell,2011
63,Tinie Tempah feat. Eric Turner,Written In The Stars,2011
64,Trey Songz feat. Nicki Minaj,Bottoms Up,2011
65,Usher feat. Pitbull,DJ Got Us Fallin’ In Love,2011
66,The Script,For The First Time,2011
67,Blake Shelton,Honey Bee,2011
68,Jason Aldean With Kelly Clarkson,Don’t You Wanna Stay,2011
69,Rihanna feat. Calvin Harris,We Found Love,2011
70,Keri Hilson,Pretty Girl Rock,2011
71,Lady Gaga,You And I,2011
72,Far*East Movement feat. Cataracs & Dev,Like A G6,2011
73,David Guetta feat. Usher,Without You,2011
74,Taylor Swift,Back To December,2011
75,Katy Perry,Teenage Dream,2011
76,Eli Young Band,Crazy Girl,2011
77,Rihanna,Cheers (Drink To That),2011
78,Selena Gomez & The Scene,Who Says,2011
79,Jake Owen,Barefoot Blue Jean Night,2011
80,Zac Brown Band feat. Jimmy Buffett,Knee Deep,2011
81,Luke Bryan,Country Girl (Shake It For Me),2011
82,Brad Paisley With Carrie Underwood,Remind Me,2011
83,Dev,In The Dark,2011
84,New Boyz feat. The Cataracs & Dev,Backseat,2011
85,Drake,Headlines,2011
86,Beyonce,Best Thing I Never Had,2011
87,Jason Derulo,Don’t Wanna Go Home,2011
88,David Guetta feat. Flo Rida & Nicki Minaj,Where Them Girls At,2011
89,Chris Brown,She Ain’t You,2011
90,Rodney Atkins,Take A Back Road,2011
91,Mike Posner,Please Don’t Go,2011
92,Miguel,Sure Thing,2011
93,Jessie J feat. B.O.B,Price Tag,2011
94,Blake Shelton,God Gave Me You,2011
95,Lil Wayne feat. Drake,She Will,2011
96,Thompson Square,Are You Gonna Kiss Me Or Not,2011
97,Neon Trees,Animal,2011
98,Kenny Chesney feat. Grace Potter,You And Tequila,2011
99,Zac Brown Band,Colder Weather,2011
100,Big Sean feat. Chris Brown,My Last,2011
1,Gotye feat. Kimbra,Somebody That I Used To Know,2012
2,Carly Rae Jepsen,Call Me Maybe,2012
3,fun. feat. Janelle Monae,We Are Young,2012
